customer_id,age,gender,location,account_balance,recency_days,frequency,monetary_total,monetary_avg,share_ATM Withdrawal,share_Airtime/Data,share_Bill Payment,share_Loan Repayment,share_Other/Unclassified,share_POS Purchase,share_Salary Credit,share_Savings Deposit,share_Transfer,cross_sell_conversion
FB101434,44,Female,Cross River,140347.75,116,5,24618.69,4923.738,0.0,0.0,0.1199466746605932,0.0,0.0,0.1100740941130498,0.1850334034832884,0.5275743754034028,0.0573714523396655,0
FB101612,41,Female,Anambra,12250.71,33,10,92503.58,9250.358,0.110422320952335,0.0097738919942341,0.2738841026477029,0.0819521795805092,0.0,0.0,0.0,0.352588083617953,0.1713794212072657,0
FB101718,45,Male,Delta,8920.12,91,11,39634.37,3603.1245454545456,0.1120355893130129,0.2167694352149409,0.238422106873403,0.0,0.0,0.0973326938210447,0.0,0.1355437212702006,0.1998964535073977,1
FB100561,46,Male,Delta,10328.83,238,2,86961.34,43480.67,0.0,0.0,0.0497870662986563,0.9502129337013436,0.0,0.0,0.0,0.0,0.0,0
FB105359,57,Male,Plateau,45321.37,181,7,25631.79,3661.684285714286,0.0946874954890001,0.0,0.0,0.2223461568622402,0.0,0.4997044685525279,0.0,0.0,0.1832618790962316,1
FB104534,57,Female,Abuja FCT,80604.71,40,2,16887.739999999998,8443.869999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0215156083644111,0.978484391635589,0.0,0
FB100263,18,Female,Delta,38288.06,31,15,330527.62,22035.174666666662,0.040135707872159,0.0790974140073377,0.0,0.0791066114232753,0.0,0.5053370426350452,0.1245292299626881,0.130233745670029,0.0415602484294655,1
FB101044,32,Male,Anambra,179461.2,102,4,22248.04,5562.009999999999,0.0,0.0,0.1626610703684459,0.3098039198059694,0.0,0.5275350098255847,0.0,0.0,0.0,0
FB101219,32,Female,Kwara,6202.86,27,9,67196.95,7466.327777777778,0.1151288860580725,0.30032925601534,0.0562839533639547,0.1213203873092454,0.0,0.0,0.2493754552848009,0.0,0.1575620619685863,0
FB104606,53,Male,Anambra,65263.02,71,7,71044.95,10149.278571428573,0.0,0.0,0.1996423391106616,0.0,0.0,0.0682764925585843,0.0,0.3845541449462628,0.347527023384491,1
FB101535,21,Female,Ogun,236278.42,33,4,34006.149999999994,8501.537499999999,0.0,0.0,0.200915422651491,0.0,0.0,0.4424926079547376,0.1337378680032876,0.0,0.2228541013904838,1
FB101876,54,Female,Delta,22180.15,25,6,25126.95,4187.825,0.0,0.4816708752952507,0.0,0.0,0.0,0.052727450008855,0.3244193982954557,0.1411822764004386,0.0,0
FB101737,28,Male,Kaduna,8839.25,99,4,54372.01,13593.0025,0.0,0.306859356496109,0.0,0.65178554186244,0.0,0.0,0.0,0.0,0.0413551016414511,1
FB102895,18,Female,Kwara,2304.85,218,5,43312.96,8662.592,0.0,0.0,0.0,0.6479845755173509,0.0,0.1770666331739968,0.0,0.0232486996963495,0.1517000916123026,0
FB103049,41,Female,Plateau,16483.72,29,6,57111.45,9518.575,0.0,0.0,0.240303301702198,0.0,0.0,0.3784249918361379,0.0,0.0,0.381271706461664,0
FB103907,39,Female,Delta,42896.61,116,4,27541.05,6885.2625,0.5689096820927307,0.1008483699786318,0.0,0.0,0.0,0.0,0.0,0.1963839432410892,0.1338580046875482,0
FB102845,38,Female,Imo,5318.18,35,5,127618.46,25523.692,0.6946149483389785,0.2895408704978888,0.0,0.0,0.0,0.0,0.0,0.0158441811631326,0.0,0
FB104322,41,Male,Kwara,4157.46,22,5,110302.63,22060.526,0.0,0.0,0.0,0.0,0.0,0.0,0.2109919772538515,0.5795945210009952,0.2094135017451533,0
FB100308,37,Unspecified,Unknown,80687.85,131,8,39865.13,4983.14125,0.0623141075922742,0.3119222237579558,0.0,0.0,0.0,0.1205632591691034,0.075853509069204,0.4293469004114623,0.0,0
FB102781,29,Male,Imo,82592.89,85,6,42827.98,7137.996666666667,0.2769350784230309,0.0420547501890119,0.0,0.2862801374241792,0.0746988300638974,0.0,0.0,0.3200312038998804,0.0,0
FB104593,18,Male,Ogun,55874.75,40,5,35706.1,7141.219999999999,0.4669574666513564,0.0,0.0,0.0,0.0,0.0,0.2646544988111274,0.268388034537516,0.0,0
FB104267,54,Female,Abuja FCT,79294.66,116,7,47256.65,6750.95,0.7370105583023766,0.0,0.0,0.0344687996292585,0.0,0.0,0.0,0.2285206420683649,0.0,0
FB105646,53,Male,Kwara,273087.63,271,5,54740.67,10948.134,0.0838520975355252,0.0,0.0,0.0,0.0,0.9161479024644748,0.0,0.0,0.0,0
FB101451,37,Unspecified,Unknown,36236.485,129,6,47053.76,7842.293333333334,0.6003951650197562,0.1804858952823324,0.0,0.0,0.0,0.0156680358806607,0.0,0.0,0.2034509038172507,0
FB104867,55,Male,Kaduna,31009.85,145,3,14272.37,4757.456666666666,0.0551716358250241,0.0,0.0,0.0,0.0,0.8783026224796583,0.0,0.0,0.0665257416953176,0
FB104366,41,Female,Delta,4589.47,223,5,54717.78,10943.556,0.1667183866012107,0.0,0.0,0.8135450670696069,0.0197365463291822,0.0,0.0,0.0,0.0,1
FB101383,37,Female,Lagos,59887.02,29,7,105751.82,15107.40285714286,0.0771466628186635,0.2723398046482793,0.251750277205631,0.0,0.0,0.0,0.197516789781963,0.2012464655454629,0.0,0
FB103941,54,Female,Rivers,34106.14,46,4,9234.03,2308.5075,0.1882861545825604,0.0,0.1160002729035968,0.0,0.0,0.6957135725138429,0.0,0.0,0.0,0
FB104356,22,Male,Delta,25305.76,195,4,67832.81,16958.2025,0.0433150270495944,0.0,0.0,0.0,0.0,0.1438302496977495,0.0,0.8128547232526561,0.0,0
FB104447,23,Female,Lagos,344627.71,286,3,52409.58,17469.86,0.0,0.0,0.0,0.1537274292219094,0.0,0.0,0.8055477643591114,0.0,0.0407248064189791,0
FB101747,44,Female,Kano,305183.78,128,5,32241.2,6448.24,0.1741827227274418,0.0,0.0,0.5365188020297011,0.0,0.2223459424587174,0.0,0.0,0.0669525327841395,0
FB104650,43,Female,Cross River,92182.35,3,10,71905.67,7190.567,0.0878302086608747,0.3531439175797958,0.2516445504227969,0.0,0.0,0.0,0.2528918790409712,0.0,0.0544894442955611,1
FB102441,26,Female,Abuja FCT,61261.21,295,1,774.77,774.77,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
FB103624,18,Male,Kwara,7199.46,343,2,17047.0,8523.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
FB103711,23,Male,Kano,112656.48,82,8,75994.70999999999,9499.33875,0.2630654160006664,0.5256243493790554,0.0,0.0,0.0302522372938853,0.0,0.1320599815434522,0.0147426051102767,0.0342554106726639,1
FB105278,41,Female,Cross River,27105.27,165,7,111785.67,15969.381428571429,0.3059651563568031,0.1015549667502104,0.3538837312510628,0.0,0.0,0.0,0.0,0.2226238837231999,0.0159722619187235,0
FB103982,30,Female,Enugu,21887.32,259,5,43924.55,8784.91,0.21969445332963,0.0,0.0269992521266581,0.0,0.0,0.0,0.1065668288007503,0.6042384042636748,0.0425010614792866,0
FB101387,31,Female,Anambra,26546.07,455,2,4495.1,2247.55,0.0,0.0,0.574347622967231,0.0,0.0,0.0,0.0,0.0,0.425652377032769,0
FB102934,29,Male,Cross River,23737.33,3,10,50668.86,5066.886,0.0075253321270697,0.12117896475271,0.1984372650183959,0.2343636703095352,0.0,0.0973828896091208,0.0,0.2360907665970776,0.1050211115860905,0
FB105974,27,Female,Kwara,9692.42,7,8,55749.07,6968.63375,0.0,0.0,0.1260612957310319,0.4792304158616457,0.0,0.3595084187054599,0.0,0.0351998697018622,0.0,0
FB100534,31,Male,Abuja FCT,53164.93,329,3,45497.52,15165.840000000002,0.0,0.7631541235654163,0.0,0.0,0.0,0.0130512608159741,0.2237946156186095,0.0,0.0,0
FB105441,31,Male,Plateau,47423.02,186,7,81307.51,11615.358571428573,0.0097041466403287,0.0347109387558418,0.0,0.0,0.0,0.0067745279618082,0.799694886733095,0.0,0.1491154999089259,0
FB101832,53,Female,Enugu,9102.87,14,8,109421.48,13677.685,0.1607960338317486,0.0,0.2879100154741099,0.0,0.0452312471006606,0.0,0.5060627035934809,0.0,0.0,0
FB102603,53,Female,Anambra,20815.17,89,4,23002.86,5750.715,0.0,0.0,0.1256956743639704,0.0,0.0,0.4070124323671056,0.4672918932689239,0.0,0.0,0
FB104518,38,Female,Ogun,159793.14,45,8,91171.12,11396.39,0.4588531982496212,0.0052715158045661,0.1452701250132717,0.0538711162043419,0.0,0.0,0.1143286382793147,0.2224054064488842,0.0,0
FB105995,31,Female,Abuja FCT,7359.78,50,5,40958.05,8191.610000000001,0.0,0.3124067185815731,0.3811895341697175,0.3064037472487093,0.0,0.0,0.0,0.0,0.0,0
FB100879,37,Unspecified,Unknown,36236.485,3,5,13537.29,2707.458,0.0,0.4104721107400373,0.0,0.3049930968458236,0.0,0.0,0.0,0.257644624588821,0.026890167825318,0
FB105890,36,Female,Lagos,18531.63,134,4,43705.57,10926.3925,0.0,0.0,0.1640596381651126,0.0,0.0,0.0,0.7502155903698315,0.0857247714650558,0.0,1
FB103289,41,Male,Imo,5052.39,97,6,103860.29,17310.048333333332,0.1243665890014364,0.0,0.0,0.0,0.0,0.0,0.3017653811673355,0.0872450866447609,0.4866229431864671,1
FB102002,20,Female,Edo,69690.83,27,5,102294.42,20458.884,0.1068665328959292,0.0,0.0,0.0,0.0,0.0477219578545926,0.7514830232186662,0.0,0.0939284860308118,0
FB100808,41,Female,Delta,15883.4,209,2,14977.9,7488.95,0.0,0.2705112198639329,0.0,0.0,0.0,0.0,0.0,0.0,0.7294887801360671,0
FB101379,23,Male,Anambra,72040.4,136,7,93919.03,13417.004285714283,0.5948144907373937,0.044960323802322,0.0398728564381467,0.3169897517042073,0.0,0.0,0.0,0.0,0.0033625773179301,0
FB105818,37,Male,Enugu,27530.33,29,9,42985.48,4776.164444444445,0.0,0.3616688705116239,0.0,0.0,0.0,0.1894393176486571,0.0744097774411266,0.3307958873554512,0.043686147043141,0
FB105751,45,Female,Cross River,145104.88,241,9,79153.29999999999,8794.81111111111,0.0,0.1679967859836545,0.1601791713042917,0.0,0.0,0.2036666822482448,0.0133617928753444,0.0552056578816044,0.39958990970686,0
FB100553,37,Unspecified,Unknown,36236.485,4,8,126559.17,15819.89625,0.0671068718292005,0.150490399075784,0.0,0.0252811392489378,0.0,0.0,0.0,0.750883005948917,0.0062385838971605,0
FB104793,43,Female,Kano,68809.67,234,5,56065.81,11213.162,0.0,0.142918652205328,0.260793699404325,0.0,0.0,0.0,0.0,0.0658376290291712,0.5304500193611758,0
FB103246,50,Female,Ogun,75350.07,81,8,304949.12,38118.64,0.0554136703198225,0.4306422658311,0.0147821380825758,0.0144432290868719,0.0,0.3514645328374779,0.0,0.1332541638421517,0.0,0
