customer_id,age,gender,location,account_balance
FB101434,44,Female,Cross River,140347.75
FB101612,41,Female,Anambra,12250.71
FB101718,45,Male,Delta,8920.12
FB100561,46,Male,Delta,10328.83
FB105359,57,Male,Plateau,45321.37
FB104534,57,Female,Abuja FCT,80604.71
FB100263,18,Female,Delta,38288.06
FB101044,32,Male,Anambra,179461.2
FB101219,32,Female,Kwara,6202.86
FB104606,53,Male,Anambra,65263.02
FB101535,21,Female,Ogun,236278.42
FB101876,54,Female,Delta,22180.15
FB101737,28,Male,Kaduna,8839.25
FB102895,18,Female,Kwara,2304.85
FB103049,41,Female,Plateau,16483.72
FB103907,39,Female,Delta,42896.61
FB102845,38,Female,Imo,5318.18
FB104322,41,Male,Kwara,4157.46
FB100308,37,Unspecified,Unknown,80687.85
FB102781,29,Male,Imo,82592.89
FB104593,18,Male,Ogun,55874.75
FB104267,54,Female,Abuja FCT,79294.66
FB105646,53,Male,Kwara,273087.63
FB101451,37,Unspecified,Unknown,36236.485
FB104867,55,Male,Kaduna,31009.85
FB104366,41,Female,Delta,4589.47
FB101383,37,Female,Lagos,59887.02
FB103941,54,Female,Rivers,34106.14
FB104356,22,Male,Delta,25305.76
FB104447,23,Female,Lagos,344627.71
FB101747,44,Female,Kano,305183.78
FB104650,43,Female,Cross River,92182.35
FB102441,26,Female,Abuja FCT,61261.21
FB103624,18,Male,Kwara,7199.46
FB103711,23,Male,Kano,112656.48
FB105278,41,Female,Cross River,27105.27
FB103982,30,Female,Enugu,21887.32
FB101387,31,Female,Anambra,26546.07
FB102934,29,Male,Cross River,23737.33
FB105974,27,Female,Kwara,9692.42
FB100534,31,Male,Abuja FCT,53164.93
FB105441,31,Male,Plateau,47423.02
FB101832,53,Female,Enugu,9102.87
FB102603,53,Female,Anambra,20815.17
FB104518,38,Female,Ogun,159793.14
FB105995,31,Female,Abuja FCT,7359.78
FB100879,37,Unspecified,Unknown,36236.485
FB105890,36,Female,Lagos,18531.63
FB103289,41,Male,Imo,5052.39
FB102002,20,Female,Edo,69690.83
FB100808,41,Female,Delta,15883.4
FB101379,23,Male,Anambra,72040.4
FB105818,37,Male,Enugu,27530.33
FB105751,45,Female,Cross River,145104.88
FB100553,37,Unspecified,Unknown,36236.485
FB104793,43,Female,Kano,68809.67
FB103246,50,Female,Ogun,75350.07
FB104399,54,Male,Enugu,134119.27
FB101303,30,Female,Oyo,3209.52
FB103539,45,Male,Lagos,30573.07
FB102517,47,Male,Kwara,505750.17
FB104504,41,Female,Anambra,128399.27
FB105610,26,Female,Abuja FCT,26999.05
FB102364,58,Female,Kwara,37096.52
FB100535,37,Male,Edo,61374.2
FB103857,54,Male,Kwara,75682.55
FB101421,57,Male,Cross River,10051.15
FB101543,37,Male,Cross River,138810.9
FB104722,56,Male,Imo,5359.53
FB103381,41,Male,Enugu,227290.12
FB104773,46,Female,Enugu,82506.0
FB101512,18,Female,Edo,23685.71
FB105339,31,Female,Kaduna,88021.95
FB100576,29,Female,Plateau,8472.67
FB103567,32,Female,Oyo,64071.73
FB103745,34,Female,Imo,15496.6
FB102787,25,Male,Ogun,4217.2
FB102579,35,Female,Kano,10475.59
FB101397,37,Female,Enugu,14281.62
FB102450,37,Female,Enugu,11854.46
FB102515,21,Male,Imo,144317.67
FB105626,26,Female,Kwara,76673.43
FB104696,35,Male,Imo,35087.93
FB104808,51,Male,Edo,10006.45
FB105337,18,Male,Imo,20716.37
FB100080,37,Female,Imo,86317.97
FB103208,21,Female,Kaduna,184142.84
FB100586,39,Female,Delta,33899.23
