customer_id,age,gender,location,account_balance
FB101434,44.0,Female,Cross River,140347.75
FB101612,41.0,Female,Anambra,12250.71
FB101718,45.0,Male,Delta,8920.12
FB100561,46.0,Male,Delta,10328.83
FB105359,57.0,Male,Plateau,45321.37
FB104534,57.0,Female,Abuja FCT,80604.71
FB100263,18.0,Female,Delta,38288.06
FB101044,32.0,Male,Anambra,179461.2
FB101219,32.0,Female,Kwara,6202.86
FB104606,53.0,Male,Anambra,65263.02
FB101535,21.0,Female,Ogun,236278.42
FB101876,54.0,Female,Delta,22180.15
FB101737,28.0,Male,Kaduna,8839.25
FB102895,18.0,Female,Kwara,2304.85
FB103049,41.0,Female,Plateau,16483.72
FB103907,39.0,Female,Delta,42896.61
FB102845,38.0,Female,Imo,5318.18
FB104322,41.0,Male,Kwara,4157.46
FB100308,,,,80687.85
FB102781,29.0,Male,Imo,82592.89
FB104593,18.0,Male,Ogun,55874.75
FB104267,54.0,Female,Abuja FCT,79294.66
FB105646,53.0,Male,Kwara,273087.63
FB101451,,,,
FB104867,55.0,Male,Kaduna,31009.85
FB104366,41.0,Female,Delta,4589.47
FB101383,37.0,Female,Lagos,59887.02
FB103941,54.0,Female,Rivers,34106.14
FB104356,22.0,Male,Delta,25305.76
FB104447,23.0,Female,Lagos,344627.71
FB101747,44.0,Female,Kano,305183.78
FB104650,43.0,Female,Cross River,92182.35
FB102441,26.0,Female,Abuja FCT,61261.21
FB103624,18.0,Male,Kwara,7199.46
FB103711,23.0,Male,Kano,112656.48
FB105278,41.0,Female,Cross River,27105.27
FB103982,30.0,Female,Enugu,21887.32
FB101387,31.0,Female,Anambra,26546.07
FB102934,29.0,Male,Cross River,23737.33
FB105974,27.0,Female,Kwara,9692.42
FB100534,31.0,Male,Abuja FCT,53164.93
FB105441,31.0,Male,Plateau,47423.02
FB101832,53.0,Female,Enugu,9102.87
FB102603,53.0,Female,Anambra,20815.17
FB104518,38.0,Female,Ogun,159793.14
FB105995,31.0,Female,Abuja FCT,7359.78
FB100879,,,,
FB105890,36.0,Female,Lagos,18531.63
FB103289,41.0,Male,Imo,5052.39
FB102002,20.0,Female,Edo,69690.83
FB100808,41.0,Female,Delta,15883.4
FB101379,23.0,Male,Anambra,72040.4
FB105818,37.0,Male,Enugu,27530.33
FB105751,45.0,Female,Cross River,145104.88
FB100553,,,,
FB104793,43.0,Female,Kano,68809.67
FB103246,50.0,Female,Ogun,75350.07
FB104399,54.0,Male,Enugu,134119.27
FB101303,30.0,Female,Oyo,3209.52
FB103539,45.0,Male,Lagos,30573.07
FB102517,47.0,Male,Kwara,505750.17
FB104504,41.0,Female,Anambra,128399.27
FB105610,26.0,Female,Abuja FCT,26999.05
FB102364,58.0,Female,Kwara,37096.52
FB100535,37.0,Male,Edo,61374.2
FB103857,54.0,Male,Kwara,75682.55
FB101421,57.0,Male,Cross River,10051.15
FB101543,37.0,Male,Cross River,138810.9
FB104722,56.0,Male,Imo,5359.53
FB103381,41.0,Male,Enugu,227290.12
FB104773,46.0,Female,Enugu,82506.0
FB101512,18.0,Female,Edo,23685.71
FB105339,31.0,Female,Kaduna,88021.95
FB100576,29.0,Female,Plateau,8472.67
FB103567,32.0,Female,Oyo,64071.73
FB103745,34.0,Female,Imo,15496.6
FB102787,25.0,Male,Ogun,4217.2
FB102579,35.0,Female,Kano,10475.59
FB101397,37.0,Female,Enugu,14281.62
FB102450,,Female,Enugu,11854.46
FB102515,21.0,Male,Imo,144317.67
FB105626,26.0,Female,Kwara,76673.43
FB104696,35.0,Male,Imo,35087.93
FB104808,51.0,Male,Edo,10006.45
FB105337,18.0,Male,Imo,20716.37
FB100080,,Female,Imo,86317.97
FB103208,21.0,Female,Kaduna,184142.84
FB100586,39.0,Female,Delta,33899.23
FB101181,18.0,Male,Enugu,123495.16
FB102521,35.0,Male,Ogun,14852.06
FB100079,,,,
FB100476,21.0,Female,Edo,177751.37
FB103770,45.0,Female,Oyo,34755.08
FB101760,44.0,Female,Kaduna,2338.82
FB100023,,,,116172.85
FB104678,46.0,Male,Ogun,82644.27
FB102980,27.0,Female,Abuja FCT,367995.94
FB101951,59.0,Male,Ogun,12876.85
FB101973,44.0,Male,Edo,58163.01
FB101942,37.0,Female,Rivers,65507.51
FB101509,32.0,Female,Cross River,66630.31
FB100228,,,,
FB104647,63.0,Male,Kano,12156.97
FB104813,40.0,Female,Rivers,509783.82
FB101728,52.0,Male,Lagos,24006.24
FB101049,18.0,Male,Kano,89293.02
FB101261,,,,
FB104325,23.0,Male,Enugu,67347.42
