age,account_balance,recency_days,frequency,monetary_total,monetary_avg,share_ATM Withdrawal,share_Airtime/Data,share_Bill Payment,share_Loan Repayment,share_Other/Unclassified,share_POS Purchase,share_Salary Credit,share_Savings Deposit,share_Transfer,location
37,18817.93,222,7,42112.560000000005,6016.080000000001,0.12546803139016,0.1141863615035514,0.0,0.1066814746004517,0.0,0.2427919366573773,0.1684257618154774,0.2424464340329821,0.0,Edo
33,21414.28,130,11,94522.05,8592.913636363637,0.0165838553014878,0.0652751395044859,0.4825373550404376,0.0,0.048490167109156,0.0,0.0,0.2758926620825511,0.1112208209618813,Rivers
34,17345.83,170,9,56047.06,6227.451111111111,0.1126919056949642,0.4216988366561957,0.0859996938287217,0.0,0.0288641366737166,0.0548492641719298,0.0,0.0,0.2958961629744718,Lagos
60,42563.79,26,8,188895.34,23611.9175,0.0,0.0095857314426073,0.0,0.0216524663869421,0.0,0.3998214566860146,0.2353044813069501,0.0,0.3336358641774858,Kwara
20,14084.71,26,5,19563.33,3912.666,0.0,0.0,0.2196052512532375,0.3239637628154307,0.0,0.1703447214763539,0.1836788522199441,0.1024074122350336,0.0,Kwara
36,71258.53,153,10,82528.37000000001,8252.837000000001,0.0,0.5226966193564709,0.0841977128592264,0.1856560356153889,0.0,0.0508758382117567,0.0464286402360788,0.0,0.1101451537210779,Anambra
28,32461.65,100,8,129539.52,16192.44,0.0697314611016005,0.3941726818194169,0.0903437036048921,0.0,0.0,0.0,0.2456226485940352,0.2001295048800551,0.0,Delta
21,12226.78,30,8,106271.09,13283.88625,0.2116904042294099,0.558457808233641,0.0561720972279478,0.0,0.051665321208242,0.0,0.1220143691007592,0.0,0.0,Kano
54,34106.14,46,4,9234.03,2308.5075,0.1882861545825604,0.0,0.1160002729035968,0.0,0.0,0.6957135725138429,0.0,0.0,0.0,Rivers
18,38378.41,218,8,122467.0,15308.375,0.0,0.0212296373717001,0.0,0.0148400793683196,0.0,0.4902888124964276,0.4156857765765471,0.0579556941870054,0.0,Edo
65,6638.03,671,1,27208.16,27208.16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Delta
38,7576.28,28,6,106029.35,17671.55833333333,0.0120058266885536,0.0,0.0718403913633347,0.0,0.0,0.0,0.0,0.688392034846955,0.2277617471011564,Edo
22,4109.6,239,9,46973.11,5219.234444444444,0.0,0.0093632293028926,0.2601639533767298,0.1136609860407369,0.0,0.0412438094901529,0.0314622557458937,0.5261386780649611,0.0179670879786328,Abuja FCT
59,82153.13,42,5,13192.96,2638.592,0.0533375375958086,0.0782493087222276,0.7861291173474337,0.0822840363345299,0.0,0.0,0.0,0.0,0.0,Imo
37,32325.1,154,5,16984.760000000002,3396.952,0.0527720144411813,0.0,0.0,0.0,0.0,0.7758902686879297,0.0,0.0,0.1713377168708889,Imo
36,20286.98,164,3,16039.07,5346.356666666667,0.0,0.0,0.7345712687830405,0.0,0.0,0.1308629490363219,0.0,0.1345657821806376,0.0,Kaduna
36,67741.14,84,5,44737.27,8947.454000000002,0.0,0.0,0.0,0.0,0.0,0.4368031397534985,0.1404871151055931,0.2408287318381295,0.1818810133027786,Cross River
37,40610.95,33,8,85245.2,10655.65,0.2806779736571678,0.2649434806886487,0.0,0.0,0.0,0.3659386100331748,0.0884399356210085,0.0,0.0,Rivers
42,6494.54,124,6,18499.09,3083.181666666667,0.011608679129622,0.0,0.514962627891426,0.0,0.0,0.0,0.0961198631932706,0.323781872513729,0.0535269572719523,Abuja FCT
23,89704.18,61,6,23774.56,3962.426666666666,0.0,0.0869597586664064,0.3300326062816725,0.0411275750213673,0.0,0.0,0.0,0.4435139914261294,0.0983660686044242,Anambra
18,11768.4,125,6,123747.45,20624.575,0.0,0.0426947787610977,0.2290038299779106,0.4214024612224333,0.0,0.0124765399206205,0.0,0.2347515847801308,0.0596708053378069,Delta
41,44238.71,269,4,12803.9,3200.975,0.0,0.0,0.0,0.2764438960004373,0.0,0.0,0.6524629214536195,0.0,0.071093182545943,Abuja FCT
42,62393.46,48,6,76374.25,12729.041666666666,0.0451298703424256,0.5418128492260154,0.0,0.1034909017109824,0.0,0.0,0.0,0.0046285233570215,0.3049378553635551,Kaduna
27,74095.38,324,4,23591.9,5897.975,0.8276315175971414,0.0,0.0,0.0,0.0,0.1375917158007621,0.0,0.0,0.0347767666020964,Edo
47,41067.78,70,8,86081.88,10760.235,0.0,0.0,0.0140067805210573,0.0169150580819099,0.0,0.5135339748620732,0.2502229272873687,0.0095470730890171,0.1957741861585736,Abuja FCT
32,52727.52,107,4,81075.86,20268.965,0.6281751436247485,0.0,0.1933749453906502,0.0,0.0,0.0,0.0095741198428237,0.1688757911417776,0.0,Lagos
49,10573.16,351,2,4317.6900000000005,2158.8450000000003,0.0,0.0,0.0,0.506249869722004,0.0,0.4937501302779958,0.0,0.0,0.0,Ogun
76,11722.72,526,5,66357.51,13271.502,0.0,0.0,0.2040528645514276,0.7372767603847703,0.0,0.0586703750638021,0.0,0.0,0.0,Kwara
46,276890.68,206,7,115786.43,16540.91857142857,0.388019217796075,0.0,0.1094878734926018,0.502492908711323,0.0,0.0,0.0,0.0,0.0,Plateau
35,12477.61,144,7,120880.04,17268.577142857142,0.044187940374606,0.6132786686701955,0.0072813509988911,0.0311348341711336,0.0,0.0,0.1813105786530183,0.1228066271321551,0.0,Anambra
18,11827.92,72,11,405018.91,36819.90090909091,0.0295240288904041,0.0,0.104958284540344,0.0099909902972184,0.0,0.3547136107793091,0.0167736859496264,0.4785287679530816,0.0055106315900163,Plateau
37,39139.19,36,10,118186.96,11818.696,0.0,0.1229878490825045,0.0,0.1152117797090304,0.0,0.2565301620415653,0.0230549969302874,0.2185372227189869,0.2636779895176253,Unknown
37,12665.97,382,4,32133.870000000003,8033.467500000001,0.0466601128342151,0.1802994784008275,0.0,0.0,0.0,0.0,0.6570643374109623,0.0,0.115976071353995,Unknown
34,38200.47,311,2,8494.0,4247.0,0.0,0.0,0.0,0.0,0.4063197551212621,0.0,0.0,0.5936802448787379,0.0,Kaduna
32,26249.47,225,5,46159.12,9231.824,0.0058586472185778,0.0,0.14272434136526,0.7902046226184555,0.044093778217609,0.0,0.0,0.0171186105800977,0.0,Lagos
58,139571.18,2,7,22775.78,3253.682857142857,0.0,0.0301680118090357,0.0,0.1803841624743477,0.0,0.1319454262378719,0.2402653169287725,0.0,0.4172370825499719,Kwara
33,42519.89,41,8,68253.24,8531.655,0.0802153861120732,0.3103813093708079,0.0,0.0,0.0,0.0,0.3714745263375043,0.1711819101921022,0.0667468679875124,Abuja FCT
44,5191.32,158,5,16135.925,3227.185,0.0,0.3138924480623206,0.3035394624107388,0.0,0.193018993333199,0.0,0.0,0.1895490961937416,0.0,Rivers
46,23827.5,17,6,31419.67,5236.611666666667,0.2657153942100601,0.0,0.0406127753728794,0.1127637559528792,0.0,0.0,0.0,0.0,0.5809080744641811,Abuja FCT
43,23543.73,59,7,53893.880000000005,7699.125714285715,0.0,0.456036566675103,0.2714298914830403,0.0,0.0,0.2005940192096022,0.0502734262220496,0.0,0.0216660964102046,Edo
41,56339.49,238,6,41712.47,6952.078333333334,0.0128517922817804,0.1182418590891404,0.0,0.0930071990462324,0.0,0.0603301602614278,0.0,0.0,0.7155689893214187,Kaduna
29,23309.5,231,7,34644.38,4949.197142857142,0.0,0.4848757576264895,0.0,0.0,0.0,0.1463712151869942,0.3629102324821515,0.0,0.0058427947043647,Rivers
19,5943.55,5,4,46208.77,11552.1925,0.0,0.0,0.0,0.1516329043166481,0.3696893468490937,0.3696893468490937,0.0,0.0,0.1089884019851642,Plateau
44,261973.05,245,7,97804.82,13972.117142857142,0.0191642906760627,0.0,0.0059174997714836,0.0790782090289619,0.0,0.8102763238049004,0.0514515542281045,0.0341121224904866,0.0,Kwara
46,14991.71,149,5,87670.17,17534.034,0.0,0.0,0.0024950333733811,0.0,0.0,0.7786118128891504,0.1704631119113833,0.0,0.0484300418260852,Ogun
38,94072.28,157,6,23194.46,3865.743333333333,0.0,0.0,0.0,0.1134313969801409,0.0,0.0,0.0597392653245645,0.0,0.8268293376952945,Kano
37,5628.11,215,5,32629.9,6525.9800000000005,0.0,0.0,0.0,0.0217935084079326,0.0,0.0,0.0,0.064510157861348,0.9136963337307192,Unknown
37,36236.485,87,3,81186.14,27062.046666666665,0.0,0.0,0.9807246655648366,0.0,0.0,0.0,0.0116211954405025,0.0076541389946609,0.0,Unknown
40,36822.03,32,8,97271.89,12158.98625,0.1170001939923239,0.0187010862028074,0.2068304625313644,0.0,0.0,0.0,0.5240335106061988,0.1026009672475779,0.0308337794197275,Kaduna
