gender,age
Female,37
Male,33
Female,34
Male,60
Male,20
Male,36
Male,28
Male,21
Female,54
Male,18
Female,65
Female,38
Female,22
Female,59
Female,37
Male,36
Female,36
Male,37
Male,42
Male,23
Male,18
Female,41
Male,42
Male,27
Female,47
Male,32
Female,49
Female,76
Male,46
Male,35
Male,18
Unspecified,37
Unspecified,37
Female,34
Female,32
Female,58
Female,33
Male,44
Female,46
Male,43
Male,41
Male,29
Female,19
Male,44
Female,46
Male,38
Unspecified,37
Unspecified,37
Male,40
Female,20
Female,36
Female,20
Female,40
Male,24
Female,58
Male,21
Male,40
Female,23
Female,33
Male,27
Male,29
Male,36
Female,45
Female,35
Male,41
Male,31
Male,27
Unspecified,37
Female,33
Female,37
Female,44
Female,46
Male,32
Male,18
Male,27
Male,32
Female,45
Male,18
Female,46
Female,34
Male,39
Female,33
Female,36
Female,27
Female,54
Male,54
Male,52
Male,37
Male,19
Female,35
Female,78
Female,32
Female,18
Male,22
Female,47
Female,49
Female,30
Male,42
Female,33
Female,42
Male,35
Female,44
Male,18
Male,55
Female,43
Female,34
Female,41
Female,23
Female,41
Male,58
Male,53
Female,36
Male,44
Male,24
Female,53
Male,39
Female,31
Male,24
Male,36
Female,18
Male,57
Male,28
Male,22
Male,42
Female,23
Male,24
Male,50
Female,49
Male,35
Female,24
Female,34
Male,57
Male,23
Male,45
Female,27
Female,25
Female,18
Male,55
Male,34
Male,32
Female,44
Male,38
Male,42
Male,36
Male,49
Male,33
Female,56
Female,37
Female,24
Female,45
Male,38
Female,26
Male,43
Female,57
Unspecified,37
Male,40
Male,27
Male,47
Male,33
Male,54
Male,45
Female,65
Female,50
Male,46
Female,27
Male,36
Male,59
Female,62
Female,43
Female,37
Male,34
Female,24
Female,53
Male,48
Male,33
Male,28
Male,31
Female,32
Male,21
Female,18
Male,18
Male,35
Unspecified,37
Male,33
Male,41
Female,27
Female,38
Male,45
Male,34
Female,38
Female,24
Female,18
Female,64
Male,37
Unspecified,37
Female,31
Female,44
Female,18
Female,53
Female,27
Male,47
Male,21
Male,59
Male,56
Female,34
Female,42
Female,18
Male,55
Female,28
Male,37
Female,50
Female,42
Male,40
Male,19
Male,18
Male,21
Male,69
Male,40
Male,51
Female,33
Female,60
Male,51
Male,30
Male,41
Male,34
Male,34
Female,56
Female,62
Male,31
Male,44
Male,39
Male,32
Female,63
Unspecified,37
Female,47
Female,55
Male,41
Male,44
Female,40
Female,18
Unspecified,37
Female,28
Male,27
Female,19
Male,48
Female,46
Female,35
Female,36
Male,51
Female,57
Female,18
Male,31
Female,51
Female,32
Female,39
Male,34
Female,39
Female,40
Male,36
Male,38
Male,21
Female,37
Male,42
Female,49
Female,30
Female,32
Female,30
Female,24
Female,55
Unspecified,37
Female,18
Male,53
Female,30
Unspecified,37
Female,31
Male,18
Male,44
Male,35
Male,48
Female,47
Female,18
Male,53
Male,45
Female,30
Male,34
Male,40
Male,22
Male,38
Male,42
Male,58
Male,40
Female,46
Female,18
Female,18
Male,25
Female,36
Male,23
Female,22
Female,52
Male,18
Female,35
Male,63
Female,48
Female,37
Male,27
Female,33
Male,32
Female,29
Male,44
Female,38
Male,33
Female,36
Female,36
Female,23
Female,43
Female,35
Male,18
Female,30
Female,32
Male,48
Male,29
Male,18
Male,58
Male,40
Female,27
Female,52
Female,37
Female,41
Male,44
Male,20
Male,50
Male,27
Female,27
Female,39
Male,23
Female,51
Female,35
Female,62
Male,40
Female,33
Male,22
Male,51
Male,66
Female,49
Female,30
Female,41
Female,41
Male,31
Female,28
Male,40
Unspecified,37
Male,38
Female,40
Female,21
Male,48
Female,24
Female,23
Male,52
Male,39
Male,31
Female,39
Female,39
Male,46
Male,42
Male,45
Female,21
Male,29
Female,25
Female,29
Male,43
Male,30
Female,43
Female,60
Female,21
Male,41
Male,28
Female,37
Male,44
Female,34
Female,49
Female,54
Female,36
Female,47
Male,35
Male,57
Female,34
Female,39
Female,54
Male,50
Unspecified,37
Female,40
Female,50
Male,50
Female,41
Male,45
Male,47
Male,18
Female,20
Female,35
Female,51
Female,41
Female,25
Male,23
Male,22
Female,21
Female,42
Female,35
Male,39
Female,52
Female,49
Female,42
Male,26
Female,18
Female,22
Female,18
Male,28
Male,30
Male,51
Male,37
Male,18
Female,45
Male,31
Male,24
Female,46
Male,36
Female,30
Female,26
Male,44
Male,23
Male,57
Female,18
Female,76
Male,18
Male,52
Female,42
Female,24
Female,62
Male,61
Female,45
Male,52
Male,21
Female,53
Female,61
Male,21
Male,36
Female,42
Female,18
Male,48
Female,43
Female,44
Unspecified,37
Female,37
Female,43
Female,27
Female,26
Male,43
Female,36
Female,24
Female,27
Female,30
Female,25
Male,35
Male,54
Male,28
Female,19
Female,29
Female,40
Female,27
Male,35
Male,34
Female,56
Male,35
Male,32
Female,51
Male,37
Female,50
Male,41
Male,44
Male,48
Female,53
Female,40
Male,46
Male,51
Male,68
Male,58
Male,26
Unspecified,37
Female,52
Male,33
Male,33
Female,35
Male,39
Male,19
Female,62
Male,41
Male,24
Female,21
Female,44
Female,43
Unspecified,37
Male,48
Female,32
Male,45
Male,37
Male,48
Female,24
Female,40
Male,21
Female,49
Male,36
Male,22
Female,53
Female,49
Female,18
Male,27
Female,32
Female,45
Male,58
Female,36
Male,48
Male,35
Female,32
Female,42
Male,53
Male,46
Female,48
Female,43
Female,46
Female,43
Female,71
Female,18
Female,53
Male,34
Unspecified,37
Female,25
Male,33
Female,22
Female,35
Female,73
Male,28
Male,28
Male,18
Male,27
Male,46
Female,39
Female,40
Female,43
Male,40
Male,29
Female,20
Male,27
Male,24
Female,46
Male,38
Female,33
Male,18
Male,46
Male,39
Female,29
Female,62
Female,42
Male,41
Female,49
Female,18
Female,50
Female,30
Male,29
Female,32
Male,18
Female,23
Male,46
Female,49
Male,26
Female,39
Female,30
Female,18
Male,40
Female,39
Male,27
Male,36
Male,37
Male,18
Male,27
Male,22
Female,53
Male,30
Male,35
Female,39
Female,51
Female,39
Female,25
Female,37
Female,44
Male,51
Female,52
Female,38
Male,66
Male,27
Male,23
Male,58
Female,18
Male,42
Female,45
Female,58
Female,43
Male,26
Male,18
Female,36
Male,28
Male,40
Female,46
Male,57
Male,77
Male,50
Male,57
Female,46
Male,37
Male,42
Female,31
Male,34
Male,65
Female,29
Female,18
Male,33
Female,45
Male,54
Male,37
Female,57
Male,59
Male,38
Male,39
Male,19
Male,39
Male,33
Female,31
Male,41
Male,53
Male,57
Male,43
Female,42
Male,50
Male,29
Female,32
Unspecified,37
Male,34
Female,57
Female,26
Male,56
Female,50
Female,39
Female,19
Female,21
Female,30
Female,52
Male,61
Male,47
Female,49
Female,31
Female,28
Male,25
Female,45
Female,73
Male,18
Male,41
Female,35
Female,52
Male,45
Female,56
Male,25
Male,18
Female,47
Female,32
Male,33
Female,18
Female,37
Male,44
Female,18
Female,44
Female,20
Female,41
Male,33
Female,50
Male,46
Male,30
Male,25
Female,38
Male,38
Male,30
Male,24
Male,18
Female,25
Male,50
Male,43
Female,34
Male,50
Female,27
Male,41
Male,38
Male,30
Male,25
Male,60
Female,28
Female,23
Male,66
Male,32
Male,20
Male,37
Female,53
Male,42
Female,38
Female,27
Male,43
Male,36
Male,43
Male,27
Female,36
Female,43
Male,18
Male,42
Female,49
Female,70
Female,39
Male,18
Male,37
Male,31
Female,40
Female,40
Female,36
Male,38
Male,35
Male,33
Female,50
Male,23
Female,28
Male,72
Female,53
Unspecified,37
Female,31
Male,57
Male,40
Male,44
Male,24
Male,33
Male,24
Female,28
Female,29
Male,34
Male,18
Male,66
Female,18
Male,47
Female,37
Male,40
Male,29
Female,56
Female,23
Male,37
Female,50
Male,55
Male,43
Male,42
Male,35
Male,26
Male,49
Male,18
Male,26
Female,32
Male,43
Female,38
Female,34
Female,18
Male,43
Male,36
Male,32
Female,50
Male,45
Male,33
Female,23
Female,46
Male,18
Female,18
Male,18
Female,41
Female,28
Female,36
Male,59
Female,37
Female,45
Male,29
Male,25
Male,35
Male,31
Male,40
Male,37
Male,40
Female,37
Male,24
Female,50
Female,33
Female,34
Female,42
Male,37
Female,25
Female,56
Male,36
Male,61
Male,32
Male,67
Male,32
Male,38
Male,19
Female,43
Female,32
Female,32
Male,50
Male,29
Female,51
Female,40
Male,36
Male,39
Female,22
Female,37
Female,27
Female,37
Male,36
Female,32
Female,32
Male,56
Female,57
Female,30
Female,27
Male,22
Male,31
Female,36
Female,35
Female,60
Female,43
Male,25
Male,29
Female,26
Male,56
Female,53
Female,39
Male,48
Male,50
Male,60
Male,32
Male,47
Male,28
Male,34
Male,23
Male,54
Female,27
Female,57
Male,46
Female,22
Female,40
Female,19
Male,21
Unspecified,37
Female,29
Female,29
Female,27
Female,53
Female,19
Male,44
Female,31
Male,63
Male,18
Male,34
Male,59
Female,36
Male,18
Female,35
Male,37
Female,45
Female,27
Female,34
Unspecified,37
Male,20
