feature,mean_abs_shap
frequency,0.3494517688830037
recency_days,0.1539815650268497
monetary_total,0.14647901152246395
account_balance,0.11145528434834001
monetary_avg,0.05026739550726623
share_Salary Credit,0.03184593191238769
share_ATM Withdrawal,0.0274776564405051
share_Airtime/Data,0.01643571586702549
location_Lagos,0.016294959361257282
share_Transfer,0.012118285132058345
share_Savings Deposit,0.010905918097403853
share_POS Purchase,0.009004795259289548
location_Kaduna,0.007154551176414769
location_Kano,0.006366219799723556
share_Bill Payment,0.00565306468208682
location_Rivers,0.005596958299973346
location_Oyo,0.005331395556176639
age,0.00528981387193057
location_Anambra,0.004698533517088017
location_Ogun,0.004013820362688947
location_Kwara,0.003657955000580721
location_Abuja FCT,0.0033504736011816553
location_Plateau,0.0027077961014768583
share_Other/Unclassified,0.002602461522758474
location_Edo,0.0025628457255006177
location_Cross River,0.0019332732679604285
location_Unknown,0.0018506287785619135
location_Delta,0.0017276461176430739
location_Imo,0.001191899949750292
share_Loan Repayment,0.0009568218763494697
location_Enugu,0.0003273102102307596
