customer_id,txn_date,txn_amount,txn_category
FB104622,2024-04-10,793.37,Salary Credit
FB104435,2025-08-18,1617.05,Savings Deposit
FB100759,2025-02-07,20458.82,POS Purchase
FB104906,2024-11-22,6958.12,Bill Payment
FB105127,2024-02-22,981.23,Savings Deposit
FB102608,2024-09-20,2580.36,Other/Unclassified
FB100793,2025-02-01,2118.63,POS Purchase
FB105926,2024-04-28,11095.0,Airtime/Data
FB100450,2024-01-08,1183.99,Airtime/Data
FB101699,2024-05-02,4014.27,ATM Withdrawal
FB101940,2024-12-23,10599.46,Airtime/Data
FB100044,2025-02-08,5091.66,Transfer
FB102386,2025-02-14,4195.52,Savings Deposit
FB102529,2025-04-11,7703.87,Airtime/Data
FB100201,2024-03-23,3677.09,Savings Deposit
FB105499,2024-12-15,8356.81,Other/Unclassified
FB105363,2025-05-13,9155.3,POS Purchase
FB100569,2024-08-20,5774.07,POS Purchase
FB105645,2025-02-23,1526.6,Bill Payment
FB105721,2024-12-18,24729.51,Bill Payment
FB104483,2024-02-22,6995.35,Loan Repayment
FB100581,2025-01-24,7006.77,Loan Repayment
FB103062,2024-06-26,2770.82,ATM Withdrawal
FB100163,2025-08-03,4132.71,Bill Payment
FB104978,2025-07-24,11246.39,Bill Payment
FB100246,2025-08-19,1346.34,Savings Deposit
FB100365,2024-11-12,1423.88,POS Purchase
FB102232,2024-12-23,3214.2,Salary Credit
FB101948,2024-03-29,2099.01,Bill Payment
FB104693,2024-08-28,1137.84,Bill Payment
FB100354,2024-02-19,4411.04,ATM Withdrawal
FB105259,2024-11-09,3204.8,Other/Unclassified
FB103804,2024-04-05,12107.5,POS Purchase
FB102735,2024-11-25,5207.82,POS Purchase
FB103195,2024-09-24,9520.01,Airtime/Data
FB104860,2024-01-06,2370.84,Salary Credit
FB105321,2025-09-08,2839.91,Transfer
FB102618,2024-09-21,14691.3,Salary Credit
FB104247,2024-07-21,3159.27,Loan Repayment
FB103090,2024-12-06,1255.55,Airtime/Data
FB105790,2025-02-26,4513.18,Loan Repayment
FB100818,2025-08-25,5826.54,Transfer
FB104345,2025-10-18,9868.74,POS Purchase
FB101848,2025-08-07,5064.945,Airtime/Data
FB105716,2024-08-24,2746.35,Airtime/Data
FB105594,2025-11-22,2675.21,Airtime/Data
FB102009,2024-04-23,1617.21,Airtime/Data
FB103277,2025-10-15,4380.92,ATM Withdrawal
